"dsc_cidade","populacao"
"Alvorada do Gurguéia (PI)","5445"
"Amarante (PI)","17604"
"Angical do Piauí (PI)","6783"
"Anísio de Abreu (PI)","9938"
"Antônio Almeida (PI)","3170"
"Aroazes (PI)","5827"
"Aroeiras do Itaim (PI)","2551"
"Arraial (PI)","4720"
"Assunção do Piauí (PI)","7863"
"Avelino Lopes (PI)","11326"
"Baixa Grande do Ribeiro (PI)","11671"
"Barra D'Alcântara (PI)","3952"
"Barras (PI)","47185"
"Barreiras do Piauí (PI)","3352"
"Barro Duro (PI)","7027"
"Batalha (PI)","26905"
"Bela Vista do Piauí (PI)","4030"
"Belém do Piauí (PI)","3587"
"Beneditinos (PI)","10473"
"Bertolínia (PI)","5507"
"Betânia do Piauí (PI)","6210"
"Boa Hora (PI)","6815"
"Bocaina (PI)","4505"
"Bom Jesus (PI)","25387"
"Bom Princípio do Piauí (PI)","5651"
"Bonfim do Piauí (PI)","5685"
"Boqueirão do Piauí (PI)","6426"
"Brasileira (PI)","8347"
"Brejo do Piauí (PI)","3848"
"Buriti dos Lopes (PI)","19807"
"Buriti dos Montes (PI)","8264"
"Cabeceiras do Piauí (PI)","10630"
"Cajazeiras do Piauí (PI)","3573"
"Cajueiro da Praia (PI)","7674"
"Caldeirão Grande do Piauí (PI)","5781"
"Campinas do Piauí (PI)","5620"
"Campo Alegre do Fidalgo (PI)","5069"
"Campo Grande do Piauí (PI)","5965"
"Campo Largo do Piauí (PI)","7311"
"Campo Maior (PI)","46893"
"Canavieira (PI)","3944"
"Canto do Buriti (PI)","21258"
"Capitão de Campos (PI)","11445"
"Capitão Gervásio Oliveira (PI)","4114"
"Caracol (PI)","10964"
"Caraúbas do Piauí (PI)","5890"
"Caridade do Piauí (PI)","5085"
"Castelo do Piauí (PI)","19715"
"Caxingó (PI)","5451"
"Cocal (PI)","27845"
"Cocal de Telha (PI)","4899"
"Cocal dos Alves (PI)","6168"
"Coivaras (PI)","4032"
"Colônia do Gurguéia (PI)","6516"
"Colônia do Piauí (PI)","7661"
"Conceição do Canindé (PI)","4807"
"Coronel José Dias (PI)","4685"
"Corrente (PI)","26709"
"Cristalândia do Piauí (PI)","8323"
"Cristino Castro (PI)","10444"
"Curimatá (PI)","11426"
"Currais (PI)","4968"
"Curralinhos (PI)","4459"
"Curral Novo do Piauí (PI)","5367"
"Demerval Lobão (PI)","13840"
"Dirceu Arcoverde (PI)","7029"
"Dom Expedito Lopes (PI)","6922"
"Domingos Mourão (PI)","4354"
"Dom Inocêncio (PI)","9565"
"Elesbão Veloso (PI)","14575"
"Eliseu Martins (PI)","4930"
"Esperantina (PI)","39848"
"Fartura do Piauí (PI)","5319"
"Flores do Piauí (PI)","4462"
"Floresta do Piauí (PI)","2560"
"Floriano (PI)","60025"
"Francinópolis (PI)","5347"
"Francisco Ayres (PI)","4323"
"Francisco Macedo (PI)","3200"
"Francisco Santos (PI)","9372"
"Fronteiras (PI)","11659"
"Geminiano (PI)","5460"
"Gilbués (PI)","10694"
"Guadalupe (PI)","10497"
"Guaribas (PI)","4568"
"Hugo Napoleão (PI)","3879"
"Ilha Grande (PI)","9457"
"Inhuma (PI)","15319"
"Ipiranga do Piauí (PI)","9838"
"Isaías Coelho (PI)","8566"
"Itainópolis (PI)","11551"
"Itaueira (PI)","11028"
"Jacobina do Piauí (PI)","5729"
"Jaicós (PI)","19170"
"Jardim do Mulato (PI)","4513"
"Jatobá do Piauí (PI)","4875"
"Jerumenha (PI)","4447"
"João Costa (PI)","3005"
"Joaquim Pires (PI)","14376"
"Joca Marques (PI)","5466"
"José de Freitas (PI)","39336"
"Juazeiro do Piauí (PI)","5485"
"Júlio Borges (PI)","5640"
"Jurema (PI)","4777"
"Lagoinha do Piauí (PI)","2858"
"Lagoa Alegre (PI)","8577"
"Lagoa do Barro do Piauí (PI)","4656"
